subject_id,subject,subject_label,subject_class,relation,object_id,object,object_label,object_class,verb_lemma,relation_rule,confidence,pattern_score,ner_score,distance_score,page_bias,evidence,context_window,evidence_start_char,evidence_end_char,page_context,url,source_page_title,page_id
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,CHILD_OF,CHARACTER:paul-30c2a3,Paul,PERSON,CHARACTER,father,pattern:possessive_kinship,0.76,0.8,0.75,0.7,0.75,"Following her divorce with Beth's father, Paul, Alice eventually fell into a downward spiral of paranoia, anxiety, and depression.","Following her divorce with Beth's father, Paul, Alice eventually fell into a downward spiral of paranoia, anxiety, and depression.",20236,20366,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,CHILD_OF,CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,mother,pattern:possessive_kinship,0.76,0.8,0.75,0.7,0.75,"Alice Harmon, Beth's mother and the driver of the car, died in the crash, leaving Beth an orphan since her father is gone, presumed to have had a ""carefree life.""","Alice Harmon, Beth's mother and the driver of the car, died in the crash, leaving Beth an orphan since her father is gone, presumed to have had a ""carefree life.""",739,901,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Openings,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,DEFEATED,CHARACTER:annette-7c8aa1,Annette,PERSON,CHARACTER,defeat,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"Beth easily defeats Annette to the surprise of the twins and a fellow player D.L. Townes, whom she briefly chatted with before her first match.","Beth easily defeats Annette to the surprise of the twins and a fellow player D.L. Townes, whom she briefly chatted with before her first match.",11247,11390,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,DEFEATED,CHARACTER:shaibel-9320d1,Shaibel,PERSON,CHARACTER,beat,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"This time, Beth finally beats Mr. Shaibel, albeit narrowly, and Mr. Shaibel takes it badly.","This time, Beth finally beats Mr. Shaibel, albeit narrowly, and Mr. Shaibel takes it badly.",3038,3129,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Openings,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,DEFEATED,CHARACTER:sizemore-1cd968,Sizemore,PERSON,CHARACTER,beat,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,Beth then beats Sizemore and goes home.,Beth then beats Sizemore and goes home.,5188,5227,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Exchanges,,
CHARACTER:paul-30c2a3,Paul,PERSON,CHARACTER,DIVORCED,CHARACTER:alice-15aa82,Alice,PERSON,CHARACTER,divorce,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"However, after failing to convince Alice to let him into the trailer, Paul divorced Alice.","However, after failing to convince Alice to let him into the trailer, Paul divorced Alice.",1282,1372,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alice_Harmon,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,ENTERED,EVENT:the_kentucky_state_championship-b9843d,the Kentucky State Championship,EVENT,EVENT,enter,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"As Beth enters the Kentucky State Championship in 1963, she is greeted by D.L Townes, who she befriends despite going up against him in one of her matches.","As Beth enters the Kentucky State Championship in 1963, she is greeted by D.L Townes, who she befriends despite going up against him in one of her matches.",21375,21531,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:harmon-140a20,Harmon,PERSON,CHARACTER,LOST_TO,CHARACTER:vasily_borgov-7b1c6a,Vasily Borgov,PERSON,CHARACTER,lose,dep:verb_nsubj_pobj,0.71,0.7,0.75,0.65,0.75,"Harmon loses against Vasily Borgov in Mexico City, and her mother dies in bed from hepatitis due to her alcohol abuse.","Harmon loses against Vasily Borgov in Mexico City, and her mother dies in bed from hepatitis due to her alcohol abuse.",14802,14921,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,LOST_TO,CHARACTER:borgov-cc6533,Borgov,PERSON,CHARACTER,lose,dep:verb_nsubj_pobj,0.71,0.7,0.75,0.65,0.75,"A few months after, Beth loses to Borgov in the 1967 Paris Remy-Vallon Invitational, wherein the results were influenced due to her state of inebriation.","A few months after, Beth loses to Borgov in the 1967 Paris Remy-Vallon Invitational, wherein the results were influenced due to her state of inebriation.",23022,23175,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:alma-335fe6,Alma,PERSON,CHARACTER,MARRIED,CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,husband,pattern:possessive_spouse,0.73,0.75,0.75,0.65,0.75,Alma's husband and Beth's estranged adoptive father.,Alma's husband and Beth's estranged adoptive father.,24618,24671,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:harmon-140a20,Harmon,PERSON,CHARACTER,MET,CHARACTER:benny_watts-6c3c3c,Benny Watts,PERSON,CHARACTER,meet,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,Harmon meets US Champion Benny Watts in Cincinnati at a tournament shortly after becoming Kentucky state champion.,Harmon meets US Champion Benny Watts in Cincinnati at a tournament shortly after becoming Kentucky state champion.,13457,13571,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,MET,CHARACTER:borgov-cc6533,Borgov,PERSON,CHARACTER,meet,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"In Mexico City, Beth meets the intimidating Borgov, while her mother cozies up to a pen pal.","In Mexico City, Beth meets the intimidating Borgov, while her mother cozies up to a pen pal.",194,286,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Middle_Game,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,MET,ORGANIZATION:christian_crusade-36689e,Christian Crusade,ORG,ORGANIZATION,meet,dep:verb_nsubj_pobj,0.71,0.7,0.75,0.65,0.75,"Afterward, Beth meets with Christian Crusade regarding them sending her to Moscow:","Afterward, Beth meets with Christian Crusade regarding them sending her to Moscow:",4300,4383,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/End_Game,,
CHARACTER:harmon-140a20,Harmon,PERSON,CHARACTER,PLAYED,CHARACTER:rossolimo-c00a3a,Rossolimo,PERSON,CHARACTER,play,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"Harmon plays the Rossolimo against GM Borgov, attempting to throw them both out of book.","Harmon plays the Rossolimo against GM Borgov, attempting to throw them both out of book.",32141,32229,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,PLAYED,CHARACTER:townes-379370,Townes,PERSON,CHARACTER,play,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"Next, Beth plays Townes and aggressively puts him on the back foot, constantly harassing his rook, only for him to stymie her.","Next, Beth plays Townes and aggressively puts him on the back foot, constantly harassing his rook, only for him to stymie her.",4711,4837,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Exchanges,,
CHARACTER:beth-c2dae4,Beth,PERSON,CHARACTER,PLAYED,CHARACTER:borgov-cc6533,Borgov,PERSON,CHARACTER,play,dep:verb_nsubj_pobj,0.71,0.7,0.75,0.65,0.75,"The next day, Beth plays against Borgov himself, the World Champion, but the absence of Alma from the match unsettles her.","The next day, Beth plays against Borgov himself, the World Champion, but the absence of Alma from the match unsettles her.",2790,2912,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Middle_Game,,
CHARACTER:elizabeth_harmon-e36a73,Elizabeth Harmon,PERSON,CHARACTER,WON,EVENT:kentucky_state_championship-21d262,Kentucky State Championship,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Elizabeth Harmon wins the 1963 Kentucky State Championship.,Elizabeth Harmon wins the 1963 Kentucky State Championship.,27033,27092,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:elizabeth_harmon-e36a73,Elizabeth Harmon,PERSON,CHARACTER,WON,EVENT:the_cincinnati_tournament-ceceb6,the Cincinnati Tournament,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Elizabeth Harmon wins the Cincinnati Tournament.,Elizabeth Harmon wins the Cincinnati Tournament.,28389,28437,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:elizabeth_harmon-e36a73,Elizabeth Harmon,PERSON,CHARACTER,WON,EVENT:the_pittsburgh_tournament-4bbed1,the Pittsburgh Tournament,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Elizabeth Harmon wins the Pittsburgh Tournament.,Elizabeth Harmon wins the Pittsburgh Tournament.,28949,28997,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
CHARACTER:vasily_borgov-7b1c6a,Vasily Borgov,PERSON,CHARACTER,WON,EVENT:mexico_city_invitational_tournament-5bdbc2,Mexico City Invitational Tournament,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Grandmaster Vasily Borgov wins the 1966 Mexico City Invitational Tournament.,Grandmaster Vasily Borgov wins the 1966 Mexico City Invitational Tournament.,32646,32722,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,,
