private_entity,private_label,private_type,wikidata_id,wikidata_uri,confidence,wd_label,wd_description,linking_method,matched_query
http://example.org/qg#character_beth_harmon_0c125c,Beth Harmon,http://example.org/qg#Character,Q102378740,http://www.wikidata.org/entity/Q102378740,1.0,Beth Harmon,fictional character from The Queen's Gambit,manual,Beth Harmon
http://example.org/qg#episode_adjournment_2bb5f9,Adjournment,http://example.org/qg#Episode,Q104650276,http://www.wikidata.org/entity/Q104650276,1.0,Adjournment,2020 episode of The Queen's Gambit (S1 E6),manual,Adjournment
http://example.org/qg#episode_doubled_pawns_6bdfa9,Doubled Pawns,http://example.org/qg#Episode,Q104650207,http://www.wikidata.org/entity/Q104650207,1.0,Doubled Pawns,2020 episode of The Queen's Gambit (S1 E3),manual,Doubled Pawns
http://example.org/qg#episode_end_game_e70272,End Game,http://example.org/qg#Episode,Q104650295,http://www.wikidata.org/entity/Q104650295,1.0,End Game,2020 episode of The Queen's Gambit (S1 E7),manual,End Game
http://example.org/qg#episode_exchanges_e1ed49,Exchanges,http://example.org/qg#Episode,Q104650188,http://www.wikidata.org/entity/Q104650188,1.0,Exchanges,2020 episode of The Queen's Gambit (S1 E2),manual,Exchanges
http://example.org/qg#episode_middle_game_60ed27,Middle Game,http://example.org/qg#Episode,Q104650246,http://www.wikidata.org/entity/Q104650246,1.0,Middle Game,2020 episode of The Queen's Gambit (S1 E4),manual,Middle Game
http://example.org/qg#episode_openings_ed66d5,Openings,http://example.org/qg#Episode,Q104650181,http://www.wikidata.org/entity/Q104650181,1.0,Q104650181,,manual,Openings
http://example.org/qg#event_chess_olympiad_345423,Chess Olympiad,http://example.org/qg#Event,Q428303,http://www.wikidata.org/entity/Q428303,0.99,Chess Olympiad,biennial chess tournament,search,Chess Olympiad
http://example.org/qg#event_exchanges_3020b9,Exchanges,http://example.org/qg#Event,Q104650188,http://www.wikidata.org/entity/Q104650188,0.99,Exchanges,2020 episode of The Queen's Gambit (S1 E2),search,Exchanges
http://example.org/qg#event_u_s_open_chess_championship_865273,U.S. Open Chess Championship,http://example.org/qg#Event,Q1995105,http://www.wikidata.org/entity/Q1995105,0.99,U.S. Open Chess Championship,annual chess tournament in the United States,search,U.S. Open Chess Championship
http://example.org/qg#location_austria_0dfdfa,Austria,http://example.org/qg#Location,Q40,http://www.wikidata.org/entity/Q40,0.99,Austria,country in Central Europe,search,Austria
http://example.org/qg#location_cincinnati_84bc17,Cincinnati,http://example.org/qg#Location,Q43196,http://www.wikidata.org/entity/Q43196,0.99,Cincinnati,"city in Ohio, United States; county seat of Hamilton County",search,Cincinnati
http://example.org/qg#location_denver_aaf23c,Denver,http://example.org/qg#Location,Q16554,http://www.wikidata.org/entity/Q16554,0.99,Denver,"consolidated city-county and capital of Colorado, United States",search,Denver
http://example.org/qg#location_france_55b616,France,http://example.org/qg#Location,Q142,http://www.wikidata.org/entity/Q142,0.99,France,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)",search,France
http://example.org/qg#location_george_town_9ca28e,George Town,http://example.org/qg#Location,Q61092,http://www.wikidata.org/entity/Q61092,0.99,George Town,capital city of the Malaysian state of Penang,search,George Town
http://example.org/qg#location_hungary_718883,Hungary,http://example.org/qg#Location,Q28,http://www.wikidata.org/entity/Q28,0.99,Hungary,country in Central Europe,search,Hungary
http://example.org/qg#location_italy_7503c5,Italy,http://example.org/qg#Location,Q38,http://www.wikidata.org/entity/Q38,0.99,Italy,country in southern Europe,search,Italy
http://example.org/qg#location_kentucky_d71f08,Kentucky,http://example.org/qg#Location,Q1603,http://www.wikidata.org/entity/Q1603,0.97,Kentucky,state of the United States of America,search,Kentucky
http://example.org/qg#location_las_vegas_0e5aeb,Las Vegas,http://example.org/qg#Location,Q23768,http://www.wikidata.org/entity/Q23768,0.99,Las Vegas,"seat of Clark County, and largest city in state of Nevada, United States",search,Las Vegas
http://example.org/qg#location_lexington_442a81,Lexington,http://example.org/qg#Location,Q49241,http://www.wikidata.org/entity/Q49241,0.99,Lexington,"city in and county seat of Fayette County, Kentucky, United States",search,Lexington
http://example.org/qg#location_methuen_90a106,Methuen,http://example.org/qg#Location,Q54179,http://www.wikidata.org/entity/Q54179,0.97,Methuen,"city in Massachusetts, United States",search,Methuen
http://example.org/qg#location_mexico_city_7afdf6,Mexico City,http://example.org/qg#Location,Q1489,http://www.wikidata.org/entity/Q1489,0.99,Mexico City,capital and largest city of Mexico,search,Mexico City
http://example.org/qg#location_moscow_467d57,Moscow,http://example.org/qg#Location,Q649,http://www.wikidata.org/entity/Q649,0.97,Moscow,capital and most populous city of Russia,search,Moscow
http://example.org/qg#location_new_york_fe8900,New York,http://example.org/qg#Location,Q1384,http://www.wikidata.org/entity/Q1384,0.99,New York,state of the United States of America,search,New York
http://example.org/qg#location_norway_49e016,Norway,http://example.org/qg#Location,Q20,http://www.wikidata.org/entity/Q20,0.99,Norway,country in Northern Europe,search,Norway
http://example.org/qg#location_pittsburg_33a1cf,Pittsburg,http://example.org/qg#Location,Q982452,http://www.wikidata.org/entity/Q982452,0.99,Pittsburg,"city in and county seat of Camp County, Texas, United States",search,Pittsburg
http://example.org/qg#location_russia_b2a8ec,Russia,http://example.org/qg#Location,Q159,http://www.wikidata.org/entity/Q159,0.99,Russia,country in Eastern Europe and Northern Asia,search,Russia
http://example.org/qg#location_san_francisco_6cf9a6,San Francisco,http://example.org/qg#Location,Q62,http://www.wikidata.org/entity/Q62,0.99,San Francisco,"consolidated city and county in California, United States",search,San Francisco
http://example.org/qg#location_sweden_6c5481,Sweden,http://example.org/qg#Location,Q34,http://www.wikidata.org/entity/Q34,0.99,Sweden,country in Northern Europe,search,Sweden
http://example.org/qg#location_united_states_96d841,United States,http://example.org/qg#Location,Q30,http://www.wikidata.org/entity/Q30,0.99,United States,country located primarily in North America,search,United States
http://example.org/qg#location_yugoslavia_aaf583,Yugoslavia,http://example.org/qg#Location,Q36704,http://www.wikidata.org/entity/Q36704,0.99,Yugoslavia,1918–1992 country in Southeastern Europe,search,Yugoslavia
http://example.org/qg#organization_chess_life_07bb03,Chess Life,http://example.org/qg#Organization,Q2670147,http://www.wikidata.org/entity/Q2670147,0.92,Chess Life,US periodical,search,Chess Life
http://example.org/qg#organization_chess_review_f901f0,Chess Review,http://example.org/qg#Organization,Q3667265,http://www.wikidata.org/entity/Q3667265,0.98,Chess Review,American magazine,search,Chess Review
http://example.org/qg#organization_cornell_university_f32aeb,Cornell University,http://example.org/qg#Organization,Q49115,http://www.wikidata.org/entity/Q49115,0.98,Cornell University,"private and statutory land-grant research university in Ithaca, New York, USA",search,Cornell University
http://example.org/qg#organization_duncan_high_school_10af2d,Duncan High School,http://example.org/qg#Organization,Q5314386,http://www.wikidata.org/entity/Q5314386,0.99,Duncan High School,"high school in Duncan, Greenlee County, Arizona",search,Duncan High School
http://example.org/qg#organization_fairfield_high_school_0b3977,Fairfield High School,http://example.org/qg#Organization,Q48976516,http://www.wikidata.org/entity/Q48976516,0.99,Fairfield High School,"high school in California, United States",search,Fairfield High School
http://example.org/qg#organization_henry_clay_high_school_452fc7,Henry Clay High School,http://example.org/qg#Organization,Q5719501,http://www.wikidata.org/entity/Q5719501,0.99,Henry Clay High School,"high school in Lexington, Fayette County, Kentucky",search,Henry Clay High School
http://example.org/qg#organization_lexington_herald_leader_84abee,Lexington Herald-Leader,http://example.org/qg#Organization,Q6537812,http://www.wikidata.org/entity/Q6537812,0.98,Lexington Herald-Leader,"newspaper based in Lexington, Kentucky",search,Lexington Herald-Leader
http://example.org/qg#organization_marie_claire_08b737,Marie Claire,http://example.org/qg#Organization,Q778079,http://www.wikidata.org/entity/Q778079,0.98,Marie Claire,women's magazine,search,Marie Claire
http://example.org/qg#organization_netflix_380329,Netflix,http://example.org/qg#Organization,Q907311,http://www.wikidata.org/entity/Q907311,1.0,Netflix,American subscription video on-demand over-the-top streaming service,manual,Netflix
http://example.org/qg#organization_random_house_cf01b9,Random House,http://example.org/qg#Organization,Q744182,http://www.wikidata.org/entity/Q744182,0.98,Random House,American general-interest trade book publisher,search,Random House
http://example.org/qg#organization_the_observer_5ba4ff,The Observer,http://example.org/qg#Organization,Q336197,http://www.wikidata.org/entity/Q336197,0.98,The Observer,British weekly newspaper,search,The Observer
http://example.org/qg#organization_time_magazine_64acec,Time Magazine,http://example.org/qg#Organization,Q124535786,http://www.wikidata.org/entity/Q124535786,0.98,Time Magazine,organization,search,Time Magazine
http://example.org/qg#real_person_anya_taylor_joy_160ff4,Anya Taylor-Joy,http://example.org/qg#RealPerson,Q20882479,http://www.wikidata.org/entity/Q20882479,1.0,Anya Taylor-Joy,Actress (born 1996),manual,Anya Taylor-Joy
http://example.org/qg#real_person_bill_camp_980f97,Bill Camp,http://example.org/qg#RealPerson,Q3639959,http://www.wikidata.org/entity/Q3639959,0.99,Bill Camp,American actor,search,Bill Camp
http://example.org/qg#real_person_bruce_pandolfini_7b4511,Bruce Pandolfini,http://example.org/qg#RealPerson,Q624987,http://www.wikidata.org/entity/Q624987,0.98,Bruce Pandolfini,"American chess author, teacher, and coach",search,Bruce Pandolfini
http://example.org/qg#real_person_chloe_pirrie_9ab2ca,Chloe Pirrie,http://example.org/qg#RealPerson,Q18030614,http://www.wikidata.org/entity/Q18030614,0.99,Chloe Pirrie,Scottish actress,search,Chloe Pirrie
http://example.org/qg#real_person_harry_melling_f4475a,Harry Melling,http://example.org/qg#RealPerson,Q329778,http://www.wikidata.org/entity/Q329778,0.99,Harry Melling,British actor,search,Harry Melling
