target_entity,neighbor_rank,neighbor_entity,cosine_similarity
http://example.org/qg#character_alice_harmon_b24c50,1,http://example.org/qg#character_weiss_16f701,0.40756362676620483
http://example.org/qg#character_alice_harmon_b24c50,2,http://example.org/qg#character_p_darga_1e1950,0.390671968460083
http://example.org/qg#character_alice_harmon_b24c50,3,http://example.org/qg#character_fergussen_32a0a2,0.3878125846385956
http://example.org/qg#character_alice_harmon_b24c50,4,http://example.org/qg#character_charles_levy_7f7647,0.36938193440437317
http://example.org/qg#character_alice_harmon_b24c50,5,http://example.org/qg#character_jolene_dewitt_19064f,0.36859261989593506
http://example.org/qg#character_alice_harmon_b24c50,6,http://example.org/qg#character_rosa_bonheur_385110,0.36296600103378296
http://example.org/qg#character_alice_harmon_b24c50,7,http://example.org/qg#character_harmon_e_c0b572,0.36049148440361023
http://example.org/qg#character_alice_harmon_b24c50,8,http://example.org/qg#character_manfredi_47d3c2,0.34524005651474
http://example.org/qg#character_alice_harmon_b24c50,9,http://example.org/qg#character_hellstrom_7715f5,0.3448651432991028
http://example.org/qg#character_alice_harmon_b24c50,10,http://example.org/qg#character_flento_88c60d,0.3424628973007202
http://example.org/qg#character_annabeth_kelly_23185e,1,http://example.org/qg#character_charles_levy_7f7647,0.4021873474121094
http://example.org/qg#character_annabeth_kelly_23185e,2,http://example.org/qg#character_flento_88c60d,0.4006122350692749
http://example.org/qg#character_annabeth_kelly_23185e,3,http://example.org/qg#character_jenny_baynes_440e83,0.3970524072647095
http://example.org/qg#character_annabeth_kelly_23185e,4,http://example.org/qg#character_bergland_563a2c,0.39115551114082336
http://example.org/qg#character_annabeth_kelly_23185e,5,http://example.org/qg#character_crawford_walker_3a1b3f,0.38422277569770813
http://example.org/qg#character_annabeth_kelly_23185e,6,http://example.org/qg#character_w_b_yeats_71c5a1,0.36131834983825684
http://example.org/qg#character_annabeth_kelly_23185e,7,http://example.org/qg#character_manfredi_47d3c2,0.34867557883262634
http://example.org/qg#character_annabeth_kelly_23185e,8,http://example.org/qg#character_annette_packer_8f7265,0.3486028015613556
http://example.org/qg#character_annabeth_kelly_23185e,9,http://example.org/qg#character_octavio_marenco_864771,0.3398227393627167
http://example.org/qg#character_annabeth_kelly_23185e,10,http://example.org/qg#character_william_shaibel_beffee,0.33257654309272766
http://example.org/qg#character_beth_harmon_0c125c,1,http://example.org/qg#character_vasily_borgov_7b1c6a,0.5892332792282104
http://example.org/qg#character_beth_harmon_0c125c,2,http://example.org/qg#character_benny_watts_6c3c3c,0.5466208457946777
http://example.org/qg#character_beth_harmon_0c125c,3,nb585065977a6497588112237ca29275ab18,0.452955961227417
http://example.org/qg#character_beth_harmon_0c125c,4,http://example.org/qg#character_d_l_townes_a69829,0.43655845522880554
http://example.org/qg#character_beth_harmon_0c125c,5,http://example.org/qg#character_william_shaibel_beffee,0.39351627230644226
http://example.org/qg#character_beth_harmon_0c125c,6,nb585065977a6497588112237ca29275ab5,0.3605930507183075
http://example.org/qg#character_beth_harmon_0c125c,7,http://example.org/qg#location_mexico_city_7afdf6,0.346767783164978
http://example.org/qg#character_beth_harmon_0c125c,8,nb585065977a6497588112237ca29275ab7,0.3414125442504883
http://example.org/qg#character_beth_harmon_0c125c,9,http://example.org/qg#character_jolene_ef5c2d,0.34001678228378296
http://example.org/qg#character_beth_harmon_0c125c,10,http://example.org/qg#character_annette_packer_8f7265,0.3291197419166565
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,1,nb585065977a6497588112237ca29275ab16,0.3469449281692505
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,2,nb585065977a6497588112237ca29275ab18,0.3450097441673279
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,3,nb585065977a6497588112237ca29275ab5,0.33609938621520996
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,4,http://example.org/qg#location_austria_0dfdfa/sameAs/Q40,0.3286977708339691
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,5,http://example.org/qg#character_beth_harmon_0c125c,0.3274762034416199
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,6,http://example.org/qg#location_las_vegas_0e5aeb/sameAs/Q23768,0.3224847912788391
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,7,nb585065977a6497588112237ca29275ab9,0.31518790125846863
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,8,nb585065977a6497588112237ca29275ab6,0.3077433705329895
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,9,http://example.org/qg#location_italy_7503c5/sameAs/Q38,0.307220995426178
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,10,nb585065977a6497588112237ca29275ab4,0.30699390172958374
http://example.org/qg#character_harmon_e_c0b572,1,http://example.org/qg#character_p_darga_1e1950,0.47948408126831055
http://example.org/qg#character_harmon_e_c0b572,2,http://example.org/qg#character_fergussen_32a0a2,0.4755038619041443
http://example.org/qg#character_harmon_e_c0b572,3,http://example.org/qg#character_charles_levy_7f7647,0.4387126564979553
http://example.org/qg#character_harmon_e_c0b572,4,http://example.org/qg#character_rosa_bonheur_385110,0.41851121187210083
http://example.org/qg#character_harmon_e_c0b572,5,http://example.org/qg#character_darga_edba99,0.4178878366947174
http://example.org/qg#character_harmon_e_c0b572,6,http://example.org/qg#character_bergland_563a2c,0.4039650559425354
http://example.org/qg#character_harmon_e_c0b572,7,http://example.org/qg#character_allan_scott_75bb32,0.39955466985702515
http://example.org/qg#character_harmon_e_c0b572,8,http://example.org/qg#character_laev_9bbd1a,0.39899682998657227
http://example.org/qg#character_harmon_e_c0b572,9,http://example.org/qg#character_flento_88c60d,0.39865827560424805
http://example.org/qg#character_harmon_e_c0b572,10,http://example.org/qg#character_harry_beltik_9f3c6e,0.3740750253200531
http://example.org/qg#episode_exchanges_e1ed49,1,http://example.org/qg#real_person_marielle_heller_80cf4b,0.35522815585136414
http://example.org/qg#episode_exchanges_e1ed49,2,http://example.org/qg#real_person_jacob_fortune_lloyd_e9fd39,0.295498251914978
http://example.org/qg#episode_exchanges_e1ed49,3,http://example.org/qg#episode_adjournment_2bb5f9,0.2934439778327942
http://example.org/qg#episode_exchanges_e1ed49,4,http://example.org/qg#episode_exchanges_e1ed49/sameAs/Q104650188,0.2828773260116577
http://example.org/qg#episode_exchanges_e1ed49,5,http://example.org/qg,0.2819010019302368
http://example.org/qg#episode_exchanges_e1ed49,6,http://example.org/qg#real_person_harry_melling_f4475a,0.26783329248428345
http://example.org/qg#episode_exchanges_e1ed49,7,http://example.org/qg#location_mexico_city_7afdf6,0.26323243975639343
http://example.org/qg#episode_exchanges_e1ed49,8,http://www.wikidata.org/entity/Q4654163,0.26113754510879517
http://example.org/qg#episode_exchanges_e1ed49,9,http://example.org/qg#location_sweden_6c5481,0.26078784465789795
