subject_id,subject,subject_label,subject_class,relation,object_id,object,object_label,object_class,verb_lemma,relation_rule,confidence,pattern_score,ner_score,distance_score,page_bias,evidence,context_window,evidence_start_char,evidence_end_char,page_context,url,source_page_title,page_id
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,DEFEATED,CHARACTER:annette_packer-8f7265,Annette Packer,PERSON,CHARACTER,defeat,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"Beth easily defeats Annette to the surprise of the twins and a fellow player D.L. Townes, whom she briefly chatted with before her first match.","Beth easily defeats Annette to the surprise of the twins and a fellow player D.L. Townes, whom she briefly chatted with before her first match.",11247,11390,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,DEFEATED,CHARACTER:benny_watts-6c3c3c,Benny Watts,PERSON,CHARACTER,win,dep:verb_nsubj_pobj,0.71,0.7,0.75,0.65,0.75,"She wins against Benny, and they decide to prepare for her international career together in New York.","She wins against Benny, and they decide to prepare for her international career together in New York.",15389,15490,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,DEFEATED,CHARACTER:sizemore-1cd968,Sizemore,PERSON,CHARACTER,beat,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,Beth then beats Sizemore and goes home.,Beth then beats Sizemore and goes home.,5188,5227,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Exchanges,Exchanges,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,DEFEATED,CHARACTER:william_shaibel-beffee,William Shaibel,PERSON,CHARACTER,beat,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"This time, Beth finally beats Mr. Shaibel, albeit narrowly, and Mr. Shaibel takes it badly.","This time, Beth finally beats Mr. Shaibel, albeit narrowly, and Mr. Shaibel takes it badly.",3038,3129,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Openings,Openings,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,ENTERED,EVENT:the_kentucky_state_championship-b9843d,the Kentucky State Championship,EVENT,EVENT,enter,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"As Beth enters the Kentucky State Championship in 1963, she is greeted by D.L Townes, who she befriends despite going up against him in one of her matches.","As Beth enters the Kentucky State Championship in 1963, she is greeted by D.L Townes, who she befriends despite going up against him in one of her matches.",21375,21531,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,LOST_TO,CHARACTER:benny_watts-6c3c3c,Benny Watts,PERSON,CHARACTER,lose,dep:verb_nsubj_pobj,0.71,0.7,0.75,0.65,0.75,"In 1966, she loses to Benny in the US Championship, and is dubbed the US Co-Champion.","In 1966, she loses to Benny in the US Championship, and is dubbed the US Co-Champion.",14231,14316,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,LOST_TO,CHARACTER:vasily_borgov-7b1c6a,Vasily Borgov,PERSON,CHARACTER,lose,dep:verb_nsubj_pobj,0.71,0.7,0.75,0.65,0.75,"Harmon loses against Vasily Borgov in Mexico City, and her mother dies in bed from hepatitis due to her alcohol abuse.","Harmon loses against Vasily Borgov in Mexico City, and her mother dies in bed from hepatitis due to her alcohol abuse.",14802,14921,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:benny_watts-6c3c3c,Benny Watts,PERSON,CHARACTER,MET,CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,meet,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,At the time he was 23 and visiting the U.S. opening in Cincinnati where he met Beth.,At the time he was 23 and visiting the U.S. opening in Cincinnati where he met Beth.,300,384,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Benny_Watts,Benny Watts,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,MET,CHARACTER:benny_watts-6c3c3c,Benny Watts,PERSON,CHARACTER,meet,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,Harmon meets US Champion Benny Watts in Cincinnati at a tournament shortly after becoming Kentucky state champion.,Harmon meets US Champion Benny Watts in Cincinnati at a tournament shortly after becoming Kentucky state champion.,13457,13571,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,MET,CHARACTER:cleo-25511b,Cleo,PERSON,CHARACTER,meet,dep:verb_nsubj_pobj,0.71,0.7,0.75,0.65,0.75,"Although, when she goes to Paris she meets up with Cloe and Cloe asks her if she liked having sex with Benny, and Beth responds with ""Sometimes.""","Although, when she goes to Paris she meets up with Cloe and Cloe asks her if she liked having sex with Benny, and Beth responds with ""Sometimes.""",15631,15776,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,MET,CHARACTER:d_l_townes-a69829,D.L. Townes,PERSON,CHARACTER,meet,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"3 years later, She finds herself in the Las Vegas U.S. Open Chess Championship (1966), she meets Townes again and he offers to picture her for an issue of the Sunday paper.","3 years later, She finds herself in the Las Vegas U.S. Open Chess Championship (1966), she meets Townes again and he offers to picture her for an issue of the Sunday paper.",21615,21787,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,MET,CHARACTER:jolene-ef5c2d,Jolene,PERSON,CHARACTER,meet,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"She meets Jolene – an older, confident orphan who advises her against swallowing the ""vitamins"" in the daytime.","She meets Jolene – an older, confident orphan who advises her against swallowing the ""vitamins"" in the daytime.",1342,1453,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,MET,CHARACTER:vasily_borgov-7b1c6a,Vasily Borgov,PERSON,CHARACTER,meet,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"In Mexico City, Beth meets the intimidating Borgov, while her mother cozies up to a pen pal.","In Mexico City, Beth meets the intimidating Borgov, while her mother cozies up to a pen pal.",194,286,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Middle_Game,Middle Game,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,PLAYED,CHARACTER:d_l_townes-a69829,D.L. Townes,PERSON,CHARACTER,play,dep:verb_nsubj_obj,0.75,0.75,0.75,0.75,0.75,"Next, Beth plays Townes and aggressively puts him on the back foot, constantly harassing his rook, only for him to stymie her.","Next, Beth plays Townes and aggressively puts him on the back foot, constantly harassing his rook, only for him to stymie her.",4711,4837,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Exchanges,Exchanges,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,PLAYED,CHARACTER:vasily_borgov-7b1c6a,Vasily Borgov,PERSON,CHARACTER,play,dep:verb_nsubj_pobj,0.71,0.7,0.75,0.65,0.75,"Harmon plays the Rossolimo against GM Borgov, attempting to throw them both out of book.","Harmon plays the Rossolimo against GM Borgov, attempting to throw them both out of book.",32141,32229,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,WON,EVENT:kentucky_state_championship-21d262,Kentucky State Championship,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Elizabeth Harmon wins the 1963 Kentucky State Championship.,Elizabeth Harmon wins the 1963 Kentucky State Championship.,27033,27092,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,WON,EVENT:moscow_invitational-acc0e2,Moscow Invitational,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Results: U.S. Champion Elizabeth Harmon wins the 1968 Moscow Invitational.,Results: U.S. Champion Elizabeth Harmon wins the 1968 Moscow Invitational.,38791,38866,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,WON,EVENT:the_cincinnati_tournament-ceceb6,the Cincinnati Tournament,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Elizabeth Harmon wins the Cincinnati Tournament.,Elizabeth Harmon wins the Cincinnati Tournament.,28389,28437,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:beth_harmon-0c125c,Beth Harmon,PERSON,CHARACTER,WON,EVENT:the_pittsburgh_tournament-4bbed1,the Pittsburgh Tournament,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Elizabeth Harmon wins the Pittsburgh Tournament.,Elizabeth Harmon wins the Pittsburgh Tournament.,28949,28997,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:vasily_borgov-7b1c6a,Vasily Borgov,PERSON,CHARACTER,WON,EVENT:mexico_city_invitational_tournament-5bdbc2,Mexico City Invitational Tournament,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Grandmaster Vasily Borgov wins the 1966 Mexico City Invitational Tournament.,Grandmaster Vasily Borgov wins the 1966 Mexico City Invitational Tournament.,32646,32722,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
CHARACTER:vasily_borgov-7b1c6a,Vasily Borgov,PERSON,CHARACTER,WON,EVENT:paris_remy_vallon_invitational-9cabaa,Paris Remy-Vallon Invitational,EVENT,EVENT,win,dep:verb_nsubj_obj,0.79,0.85,0.75,0.75,0.75,Grandmaster Vasily Borgov wins the 1967 Paris Remy-Vallon Invitational.,Grandmaster Vasily Borgov wins the 1967 Paris Remy-Vallon Invitational.,34654,34725,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,
