entity_id,canonical_text,preferred_text,aliases,mention_count,entity_label,entity_class,page_context,url,source_page_title,page_id,span_examples
CHARACTER:albin-b41fd6,Albin,Albin,Albin,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,,"Harmon replies with a complete deviation from Albin theory at the time by pushing her king's pawn, which transpoes them into the Queen's Gambit Accepted: Central Variation, McDonnell Defence."
CHARACTER:albin-b41fd6,Albin,Albin,Albin,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Harmon_vs._Borgov_(1968),Harmon vs. Borgov (1968),,"Inaccuracy: Harmon replies with ""a complete deviation"" from Albin theory at the time by pushing her king's pawn."
CHARACTER:alec_bergland-2166ad,Alec Bergland,Alec Bergland,Alec Bergland,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,,"Players included: IM Alec Bergland, of Norway; IM P. Darga, of France; IM S. Malovicz, of Yugoslavia; IM R. Uljanov, of USSR; US Champion Elizabeth Harmon; and GM Vasily Borgov, of USSR."
CHARACTER:alekhine-d4eb92,Alekhine,Alekhine,Alekhine,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Fork,Fork,,He eventually earns his keep when he points out a sequence from Alekhine that Beth had overlooked.
CHARACTER:alice-15aa82,Alice,Alice,Alice,15,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alice_Harmon,Alice Harmon,,"Alice is portrayed by Chloe Pirrie. || Little is known about Alice's upbringing, save that she came from a wealthy family. Alice attended Cornell University and received a PhD in mathematics. || Little is known about Alice's upbringing, save that she came from a wealthy family. Alice attended Cornell University and received a PhD in mathematics."
CHARACTER:alice-15aa82,Alice,Alice,Alice,3,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,,"Meanwhile, during her first night at the orphanage, Harmon has a flashback to when she was five, on the evening that her father officially gave up on trying to see her since Alice had kept ""running away."" || In the flashback, Alice rounds up personal belongings that supposedly share a connection to Paul and her past, including the dissertation she wrote to obtain her Ph.D. in mathematics at Cornell University. || Following her divorce with Beth's father, Paul, Alice eventually fell into a downward spiral of paranoia, anxiety, and depression."
CHARACTER:alice-15aa82,Alice,Alice,Alice,6,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/End_Game,End Game,,"Paul already has a new family and a new son, Christopher, who he quickly ushers inside the house so he can deal with Alice. || Alice breaks down in desperation and begs for his help, because she can't give Beth a proper life the way she's living. || However, Paul is agitated and wants Alice gone, sending her away because ""it's too late"", cementing his words from five years earlier that he wouldn't help Alice if she sent him away again."
CHARACTER:alice_harmon-b24c50,Alice Harmon,Alice Harmon,Alice Harmon,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment,Adjournment,,"After another memory of Alice Harmon giving Beth Harmon advice, Beth and Benny play chess in their heads and practice Russian together while driving to Benny's home in New York."
CHARACTER:alice_harmon-b24c50,Alice Harmon,Alice Harmon,Alice Harmon,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alice_Harmon,Alice Harmon,,Alice Harmon is the biological mother to Beth Harmon and the divorced wife of Paul.
CHARACTER:alice_harmon-b24c50,Alice Harmon,Alice Harmon,Alice Harmon,2,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Beth Harmon,,"[] After her mother, Alice Harmon, died in a traffic collision, and her father unknown, Harmon is sent to Methuen Home, an exclusively-female Christian orphanage, on July 25th, 1957. || Alice Harmon is Beth's biological mother."
CHARACTER:alice_harmon-b24c50,Alice Harmon,Alice Harmon,Alice Harmon,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns,Doubled Pawns,,"A cold opening shows Beth as a child, watching her mother Alice Harmon swimming and diving in a lake."
CHARACTER:alice_harmon-b24c50,Alice Harmon,Alice Harmon,Alice Harmon,3,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/End_Game,End Game,,"Beth remembers her final day with her mother, when Alice Harmon drove her to the home of Paul, Beth's father. || En route to Methuen, they stop by Beth's old home, the trailer she lived in with Alice Harmon. || That night, Beth remembers the rest of her last day with Alice Harmon, the end of the car ride: After remembering her mother's ultimate insane action to drive directly into an oncoming truck, which killed her, Beth decides to flush her remaining tranquilizers down the toilet."
CHARACTER:alice_harmon-b24c50,Alice Harmon,Alice Harmon,Alice Harmon,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Fork,Fork,,"Another cold opening with Alice Harmon sees her giving advice to a young Elizabeth Harmon, admonishing her that the most powerful people are those who aren't afraid to be alone."
CHARACTER:alice_harmon-b24c50,Alice Harmon,Alice Harmon,Alice Harmon,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Openings,Openings,,"Alice Harmon, Beth's mother and the driver of the car, died in the crash, leaving Beth an orphan since her father is gone, presumed to have had a ""carefree life."""
CHARACTER:allan_scott-75bb32,Allan Scott,Allan Scott,Allan Scott,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit_(novel),The Queen's Gambit (novel),,"In 2007, actor Heath Ledger was working on what would have been his feature directing debut, an adaptation of The Queen's Gambit, with British writer/producer Allan Scott."
CHARACTER:allston-b835fb,Allston,Allston,Allston,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Allston_Wheatley,Allston Wheatley,,"Strangely, despite seeming to have little interest in her, it is claimed by Alma that Allston Wheatley was the one who wanted to adopt Elizabeth, however, this is later deflected by Allston, stating that Alma would 'just say things'."
CHARACTER:allston-b835fb,Allston,Allston,Allston,1,PERSON,CHARACTER,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alma_Wheatley,Alma Wheatley,,"She and her husband Allston reside at 4400 Reed Lane, Lexington, Kentucky."
