target_entity,neighbor_rank,neighbor_entity,cosine_similarity
http://example.org/qg#character_alice_harmon_b24c50,1,http://www.wikidata.org/entity/Q540912,0.1970904916524887
http://example.org/qg#character_alice_harmon_b24c50,2,http://www.wikidata.org/entity/Q534413,0.16851656138896942
http://example.org/qg#character_alice_harmon_b24c50,3,http://example.org/qg#character_girev_2c3631,0.1604856550693512
http://example.org/qg#character_alice_harmon_b24c50,4,http://www.wikidata.org/entity/Q18009046,0.15764854848384857
http://example.org/qg#character_alice_harmon_b24c50,5,http://www.wikidata.org/entity/Q21950734,0.15615463256835938
http://example.org/qg#character_alice_harmon_b24c50,6,http://www.wikidata.org/entity/Q15709486,0.15583494305610657
http://example.org/qg#character_alice_harmon_b24c50,7,http://www.wikidata.org/entity/Q874,0.1557762175798416
http://example.org/qg#character_alice_harmon_b24c50,8,http://www.wikidata.org/entity/Q20642506,0.1533564329147339
http://example.org/qg#character_alice_harmon_b24c50,9,http://www.wikidata.org/entity/Q4610556,0.1521347314119339
http://example.org/qg#character_alice_harmon_b24c50,10,http://www.wikidata.org/entity/Q4223923,0.15162688493728638
http://example.org/qg#character_annabeth_kelly_23185e,1,http://www.wikidata.org/entity/Q109875823,0.19602732360363007
http://example.org/qg#character_annabeth_kelly_23185e,2,http://www.wikidata.org/entity/Q7242,0.1945970207452774
http://example.org/qg#character_annabeth_kelly_23185e,3,http://www.wikidata.org/entity/Q201653,0.18641172349452972
http://example.org/qg#character_annabeth_kelly_23185e,4,http://www.wikidata.org/entity/Q98507180,0.18336278200149536
http://example.org/qg#character_annabeth_kelly_23185e,5,http://www.wikidata.org/entity/Q136290669,0.1737823486328125
http://example.org/qg#character_annabeth_kelly_23185e,6,http://example.org/qg#event_u_s_championship_e47e27,0.17023316025733948
http://example.org/qg#character_annabeth_kelly_23185e,7,http://www.wikidata.org/entity/Q99529212,0.16420815885066986
http://example.org/qg#character_annabeth_kelly_23185e,8,http://example.org/qg#character_crawford_walker_3a1b3f,0.16105115413665771
http://example.org/qg#character_annabeth_kelly_23185e,9,http://www.wikidata.org/entity/Q15926291,0.14983034133911133
http://example.org/qg#character_annabeth_kelly_23185e,10,http://www.wikidata.org/entity/Q3298746,0.1497078686952591
http://example.org/qg#character_beth_harmon_0c125c,1,http://www.wikidata.org/entity/Q494756,0.18546348810195923
http://example.org/qg#character_beth_harmon_0c125c,2,http://www.wikidata.org/entity/Q1510761,0.17222031950950623
http://example.org/qg#character_beth_harmon_0c125c,3,http://www.wikidata.org/entity/Q59164093,0.157026469707489
http://example.org/qg#character_beth_harmon_0c125c,4,http://www.wikidata.org/entity/Q54802876,0.15286196768283844
http://example.org/qg#character_beth_harmon_0c125c,5,http://www.wikidata.org/entity/Q215017,0.15153419971466064
http://example.org/qg#character_beth_harmon_0c125c,6,http://www.wikidata.org/entity/Q921,0.1477125585079193
http://example.org/qg#character_beth_harmon_0c125c,7,http://www.wikidata.org/entity/Q2560047,0.14754006266593933
http://example.org/qg#character_beth_harmon_0c125c,8,http://www.wikidata.org/entity/Q309172,0.14585334062576294
http://example.org/qg#character_beth_harmon_0c125c,9,http://www.wikidata.org/entity/Q114717230,0.14571815729141235
http://example.org/qg#character_beth_harmon_0c125c,10,http://www.wikidata.org/entity/Q1069959,0.14536112546920776
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,1,http://www.wikidata.org/entity/Q113732316,0.1991463452577591
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,2,http://www.wikidata.org/entity/Q751876,0.18086284399032593
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,3,http://www.wikidata.org/entity/Q452283,0.1787383258342743
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,4,http://www.wikidata.org/entity/Q21938021,0.1730804145336151
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,5,http://www.wikidata.org/entity/Q72638,0.1681216061115265
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,6,http://www.wikidata.org/entity/Q1194864,0.16669368743896484
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,7,http://www.wikidata.org/entity/Q2588161,0.1656128466129303
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,8,http://www.wikidata.org/entity/Q2354450,0.16462239623069763
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,9,http://www.wikidata.org/entity/Q189290,0.15831373631954193
http://example.org/qg#character_beth_harmon_0c125c/sameAs/Q102378740,10,http://www.wikidata.org/entity/Q28710139,0.1551029235124588
http://example.org/qg#character_harmon_e_c0b572,1,http://www.wikidata.org/entity/Q132568,0.18039272725582123
http://example.org/qg#character_harmon_e_c0b572,2,http://www.wikidata.org/entity/Q4135718,0.17673234641551971
http://example.org/qg#character_harmon_e_c0b572,3,http://www.wikidata.org/entity/Q6496477,0.1698465645313263
http://example.org/qg#character_harmon_e_c0b572,4,http://www.wikidata.org/entity/Q15553735,0.16440463066101074
http://example.org/qg#character_harmon_e_c0b572,5,http://www.wikidata.org/entity/Q125662613,0.16054829955101013
http://example.org/qg#character_harmon_e_c0b572,6,http://www.wikidata.org/entity/Q18378030,0.16026528179645538
http://example.org/qg#character_harmon_e_c0b572,7,http://www.wikidata.org/entity/Q350,0.1585027575492859
http://example.org/qg#character_harmon_e_c0b572,8,http://www.wikidata.org/entity/Q1390515,0.1582474410533905
http://example.org/qg#character_harmon_e_c0b572,9,http://www.wikidata.org/entity/Q12546,0.1557040810585022
http://example.org/qg#character_harmon_e_c0b572,10,http://www.wikidata.org/entity/Q111472836,0.15339678525924683
