private_entity,private_label,private_type,wikidata_id,wikidata_uri,confidence,wd_label,wd_description,linking_method,matched_query
http://example.org/qg#character_allan_scott_75bb32,Allan Scott,http://example.org/qg#Character,Q29540143,http://www.wikidata.org/entity/Q29540143,0.92,Allan Scott,,search,Allan Scott
http://example.org/qg#character_beth_harmon_0c125c,Beth Harmon,http://example.org/qg#Character,Q102378740,http://www.wikidata.org/entity/Q102378740,1.00,Beth Harmon,fictional character from The Queen's Gambit,manual,Beth Harmon
http://example.org/qg#character_bulova_faf089,Bulova,http://example.org/qg#Character,Q106066723,http://www.wikidata.org/entity/Q106066723,0.85,Bulova,family name,search,Bulova
http://example.org/qg#character_charles_levy_7f7647,Charles Levy,http://example.org/qg#Character,Q112843087,http://www.wikidata.org/entity/Q112843087,0.92,Charles Levy,radio broadcaster,search,Charles Levy
http://example.org/qg#character_crawford_walker_3a1b3f,Crawford Walker,http://example.org/qg#Character,Q76067418,http://www.wikidata.org/entity/Q76067418,0.92,Crawford Walker,Peerage person ID=507855,search,Crawford Walker
http://example.org/qg#character_diana_lanni_19020b,Diana Lanni,http://example.org/qg#Character,Q109420063,http://www.wikidata.org/entity/Q109420063,0.92,Diana Lanni,chess player,search,Diana Lanni
http://example.org/qg#character_dick_evans_b2825e,Dick Evans,http://example.org/qg#Character,Q5272895,http://www.wikidata.org/entity/Q5272895,0.92,Dick Evans,English footballer (1875-1942),search,Dick Evans
http://example.org/qg#character_ellen_page_5c3655,Ellen Page,http://example.org/qg#Character,Q111452842,http://www.wikidata.org/entity/Q111452842,0.92,Ellen Page,,search,Ellen Page
http://example.org/qg#character_girev_2c3631,Girev,http://example.org/qg#Character,Q6953477,http://www.wikidata.org/entity/Q6953477,0.77,Girevş,"settlement in Nusaybin, Turkey",search,Girev
http://example.org/qg#character_levenfish_a725df,Levenfish,http://example.org/qg#Character,Q135840032,http://www.wikidata.org/entity/Q135840032,0.85,Levenfish,family name,search,Levenfish
http://example.org/qg#character_margaret_johnson_c8d437,Margaret Johnson,http://example.org/qg#Character,Q116179525,http://www.wikidata.org/entity/Q116179525,0.92,Margaret Johnson,"daughter of Ralph Johnson, mother of Anthony Mayney",search,Margaret Johnson
http://example.org/qg#character_mcdonnell_434a93,McDonnell,http://example.org/qg#Character,Q21511109,http://www.wikidata.org/entity/Q21511109,0.85,McDonnell,family name,search,McDonnell
http://example.org/qg#character_michaelangelo_c85781,Michaelangelo,http://example.org/qg#Character,Q100393538,http://www.wikidata.org/entity/Q100393538,0.99,Michaelangelo,fictional character in television series Ninja Turtles: The Next Mutation,search,Michaelangelo
